0, 1, 2, 3, 4, 5, 6, 7, 8  -  Day:
0, 99, 51, 45, 41, 64, 0, 0, 0  -   0
99, 51, 45, 41, 64, 0, 0, 0, 0  -   1
51, 45, 41, 64, 0, 0, 99, 0, 99  -   2
45, 41, 64, 0, 0, 99, 51, 99, 51  -   3
41, 64, 0, 0, 99, 51, 144, 51, 45  -   4
64, 0, 0, 99, 51, 144, 92, 45, 41  -   5
0, 0, 99, 51, 144, 92, 109, 41, 64  -   6
0, 99, 51, 144, 92, 109, 41, 64, 0  -   7
99, 51, 144, 92, 109, 41, 64, 0, 0  -   8
51, 144, 92, 109, 41, 64, 99, 0, 99  -   9
144, 92, 109, 41, 64, 99, 51, 99, 51  -   10
92, 109, 41, 64, 99, 51, 243, 51, 144  -   11
109, 41, 64, 99, 51, 243, 143, 144, 92  -   12
41, 64, 99, 51, 243, 143, 253, 92, 109  -   13
64, 99, 51, 243, 143, 253, 133, 109, 41  -   14
99, 51, 243, 143, 253, 133, 173, 41, 64  -   15
51, 243, 143, 253, 133, 173, 140, 64, 99  -   16
243, 143, 253, 133, 173, 140, 115, 99, 51  -   17
143, 253, 133, 173, 140, 115, 342, 51, 243  -   18
253, 133, 173, 140, 115, 342, 194, 243, 143  -   19
133, 173, 140, 115, 342, 194, 496, 143, 253  -   20
173, 140, 115, 342, 194, 496, 276, 253, 133  -   21
140, 115, 342, 194, 496, 276, 426, 133, 173  -   22
115, 342, 194, 496, 276, 426, 273, 173, 140  -   23
342, 194, 496, 276, 426, 273, 288, 140, 115  -   24
194, 496, 276, 426, 273, 288, 482, 115, 342  -   25
496, 276, 426, 273, 288, 482, 309, 342, 194  -   26
276, 426, 273, 288, 482, 309, 838, 194, 496  -   27
426, 273, 288, 482, 309, 838, 470, 496, 276  -   28
273, 288, 482, 309, 838, 470, 922, 276, 426  -   29
288, 482, 309, 838, 470, 922, 549, 426, 273  -   30
482, 309, 838, 470, 922, 549, 714, 273, 288  -   31
309, 838, 470, 922, 549, 714, 755, 288, 482  -   32
838, 470, 922, 549, 714, 755, 597, 482, 309  -   33
470, 922, 549, 714, 755, 597, 1320, 309, 838  -   34
922, 549, 714, 755, 597, 1320, 779, 838, 470  -   35
549, 714, 755, 597, 1320, 779, 1760, 470, 922  -   36
714, 755, 597, 1320, 779, 1760, 1019, 922, 549  -   37
755, 597, 1320, 779, 1760, 1019, 1636, 549, 714  -   38
597, 1320, 779, 1760, 1019, 1636, 1304, 714, 755  -   39
1320, 779, 1760, 1019, 1636, 1304, 1311, 755, 597  -   40
779, 1760, 1019, 1636, 1304, 1311, 2075, 597, 1320  -   41
1760, 1019, 1636, 1304, 1311, 2075, 1376, 1320, 779  -   42
